stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
4169,CEFE3,CENTREWOOD @ FIELD ENCAMPMENT,CENTREWOOD DR & FIELD ENCAMPMENT RD,38.827649,-77.441011,,,,
4170,CFGS1,CENTREVILLE FMS RD @ GRANITE STEP,CENTREVILLE FMS RD & GRANITE STEP TR,38.848586,-77.404583,,,,
4171,CFLE2,CENTREVILLE FMS RD @ LELAND,CENTREVILLE FMS RD & LELAND RD,38.844192,-77.413692,,,,
4172,CFLE4,CENTREVILLE FMS RD @ LELAND,CENTREVILLE FMS RD & LELAND RD,38.843877,-77.413265,,,,
4173,CFLE2,CENTREVILLE FMS RD @ LEE HY,,38.840346,-77.4117,,,,
4174,CEMA3,CENTREWOOD @ MACHEN,CENTREWOOD DR & MACHEN RD,38.832025,-77.439385,,,,
4175,CEMA9,CENTREWOOD @ MACHEN,CENTREWOOD DR & MACHEN RD,38.833032,-77.437584,,,,
4177,CEMU1,CENTREWOOD @ MULTIPLEX,CENTREWOOD DR & MULTIPLEX DR,38.828419,-77.440329,,,,
4178,CESG3,CENTREWOOD @ SAINT GERMAIN,CENTREWOOD DR & SAINT GERMAIN DR,38.83614,-77.436738,,,,
4179,CESG4,CENTREWOOD @ SAINT GERMAIN,CENTREWOOD DR & SAINT GERMAIN DR,38.836139,-77.436464,,,,
4180,CEST3,CENTREWOOD @ SUMMER TREE,CENTREWOOD DR & SUMMER TREE RD,38.829885,-77.440226,,,,
4181,CEST4,CENTREWOOD @ SUMMER TREE,CENTREWOOD DR & SUMMER TREE RD,38.830081,-77.439995,,,,
4182,CFTG4,CENTREVILLE FMS RD @ TWILIGHT GLOW,CENTREVILLE FMS RD & TWILIGHT GLOW DR,38.845408,-77.413168,,,,
4183,CFGS3,CENTREVILLE FMS RD @ GRANITE STEP,CENTREVILLE FMS RD & ARROWHEAD PARK DR,38.848433,-77.404882,,,,
4184,CFLA2,CENTREVILLE FMS RD @ LAMIUM,CENTREVILLE FMS RD & LAMIUM LA,38.842573,-77.412949,,,,
4186,CFRA3,CENTREVILLE FMS RD @ RACHAEL ALICE,CENTREVILLE FMS RD & JULE STAR DR,38.848438,-77.410054,,,,
4188,FPSP2W,FAIRFAX COUNTY PW @ SPRINGHAVEN,FAIRFAX COUNTY PW & SPRINGHAVEN DR,38.90018,-77.40523,,,,
4189,FPTU1W,FAIRFAX COUNTY PW @ TUCKAWAY,FAIRFAX COUNTY PW & TUCKAWAY DR,38.90063,-77.40509,,,,
4190,FECB1,FIELD ENCAMPMENT @ CIDER BARREL,FIELD ENCAMPMENT RD & CIDER BARREL CI,38.828486,-77.444684,,,,
