stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
402,53238,"Military Road, SB @ 25th Street N, NS",38.903530,-77.108295,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A53238#realTimeResultsContainer"
403,62007,"N Lorcom Lane, EB @ Military Road, FS",38.902108,-77.108308,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A62007#realTimeResultsContainer"
404,62210,"N Lorcom Lane, WB @ Military Road, FS",38.902435,-77.109072,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A62210#realTimeResultsContainer"
405,53239,"Military Road, SB @ Lorcom Lane, FS",38.902054,-77.109212,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A53239#realTimeResultsContainer"
406,53010,"Military Road, NB @ N Lorcom Lane, NS",38.902093,-77.108911,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A53010#realTimeResultsContainer"
408,62006,"N Lorcom Lane, EB @ N Vacation Lane, NS",38.901669,-77.113011,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A62006#realTimeResultsContainer"
409,62211,"N Lorcom Lane, WB @ N Vacation Lane, FS",38.901704,-77.113210,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A62211#realTimeResultsContainer"
410,62212,"N Lorcom Lane, SB @ N Trenton Street, MB",38.900130,-77.115427,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A62212#realTimeResultsContainer"
411,62005,"N Lorcom Lane, NB @ N Trenton Street, NS",38.899846,-77.115500,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A62005#realTimeResultsContainer"
412,62004,"Lee Highway, WB @ Lorcom Lane, NS",38.898489,-77.117304,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A62004#realTimeResultsContainer"
413,62213,"Lee Highway, EB @ N Vermont Street, MB",38.898057,-77.116484,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A62213#realTimeResultsContainer"
414,62015,"Lee Highway, WB @ N Thomas Street, NS",38.897586,-77.115134,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A62015#realTimeResultsContainer"
415,62214,"Lee Highway, EB @ N Thomas Street, FS",38.897440,-77.115254,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A62214#realTimeResultsContainer"
416,62003,"Lee Highway, WB @ N Utah St, FS",38.897227,-77.114189,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A62003#realTimeResultsContainer"
417,53241,"Military Road, SB @ Old Dominion Drive, NS",38.897631,-77.108882,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A53241#realTimeResultsContainer"
418,53008,"Military Road, NB @ Old Dominion Drive, FS",38.897530,-77.108656,"http://www.arlingtontransit.com/pages/rider-tools/realtime/?Stop=A53008#realTimeResultsContainer"
