stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
3176,3176,Copperline Dr at Aberdeen St,,35.881418,-79.064248,cht,
3178,3178,S Columbia St at Abernethy Hall,,35.91138,-79.05469,cht,
3179,3179,S Columbia St at Frat Ct,,35.91173,-79.05503,cht,
3181,3181,Merritt Mill Rd at Locust Ct,,35.9055,-79.06402,cht,
3183,3183,S Columbia St at Coolidge St,,35.89759,-79.05766,cht,
3184,3184,S Columbia St at Westwood Dr,,35.90162,-79.05754,cht,
3185,3185,Brookgreen Dr at Edgewater Cir,,35.883573,-79.06951,cht,
3186,3186,Brookgreen Dr at Southern Village Clubhouse,,35.885063,-79.07068,cht,
3187,3187,S Columbia St at Purefoy Rd,,35.895564,-79.058281,cht,
3188,3188,S Columbia St at Purefoy Rd,,35.89534,-79.05854,cht,
3189,3189,US 15-501 South at Culbreth Rd,,35.891886,-79.058797,cht,
3190,3190,NC 54 West at Laurel Ridge,,35.89879,-79.0666,cht,
3191,3191,NC 54 East at Kingswood,,35.89892,-79.06732,cht,
3192,3192,Culbreth Rd at Channing Ln,,35.892496,-79.06245,cht,
3193,3193,Culbreth Rd at Culbreth Park Dr,,35.891848,-79.064334,cht,
3194,3194,Culbreth Rd at Southbridge Dr,,35.891917,-79.06599,cht,
3195,3195,Culbreth Rd at Adams Way,,35.892241,-79.067846,cht,
3196,3196,Culbreth Rd at Weyer,,35.892704,-79.070558,cht,
3197,3197,Culbreth Rd at Covenant Pl,,35.893779,-79.075796,cht,
3199,3199,Westgreen Dr at Parkside Cir,,35.88404,-79.0662,cht,
3203,3203,Cameron Ave at S Roberson St,,35.90775,-79.06202,cht,
3204,3204,Cameron Ave at Railroad Tracks,,35.9073,-79.06329,cht,
3205,3205,Cameron Ave at S Roberson St,,35.908,-79.06149,cht,
3206,3206,Cameron Ave at Cameron Glen,,35.90835,-79.06037,cht,
3207,3207,Cameron Ave at Kenan St,,35.90867,-79.05981,cht,
3208,3208,Cameron Ave at Wilson St,,35.90968,-79.05707,cht,
3209,3209,Cameron Ave at Granville Towers,,35.90981,-79.05681,cht,
3210,3210,Cameron Ave at Pittsboro St,,35.91011,-79.05571,cht,
3211,3211,Pittsboro St at Newman Center,,35.90891,-79.05481,cht,
3212,3212,McCauley St at Whitehead Dorm,,35.90866,-79.05368,cht,
3213,3213,McCauley St at Pharmacy Ln,,35.90836,-79.053852,cht,
3214,3214,South Rd at Coker Hall,,35.908606,-79.051501,cht,
3215,3215,South Rd at Kenan Labs,,35.908699,-79.051116,cht,
