stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
21979768-cdd9-4fee-91f0-b0031218c91b,1643,"Main/Dowdy Sbnd","812",37.20275,-80.39939,,,0,,,
89b8c2ea-28f7-4d9d-8443-a39f03ba3fb3,1613,"Grissom/Nellies Cave Nbnd","143",37.21268,-80.39346,,,0,,,
0af47f45-5a27-4b0c-9400-bd84d6b64afc,1615,"Marlington/Emerald Wbnd","145",37.21246,-80.39607,,,0,,,
83e0c7f9-4400-4078-91c1-33872821adbf,1616,"Marlington/Grayland Wbnd","146",37.21189,-80.39805,,,0,,,
7631804b-6d6e-48c9-a1eb-619f5a4e2ace,1617,"Marlington/Main Wbnd","147",37.21146,-80.39962,,,0,,,
29877cb8-9ddc-4657-a384-aa9da75d6a0a,1618,"Main/Landsdowne Nbnd","148",37.21333,-80.40007,,,0,,,
d984ba05-d664-4fbe-bd97-8d8f7a6148f6,1619,"Main/Ardmore Nbnd","149",37.21419,-80.40033,,,0,,,
00640a12-48bc-4717-a60b-bd49a06f630a,1620,"Blacksburg Square","150",37.21581,-80.40078,,,0,,,
49857059-14da-4c4c-b08b-469ad3191631,1621,"Main/Cohee Nbnd","151",37.21941,-80.40287,,,0,,,
e0068a1c-9142-42c3-9d31-01aa694845c3,1622,"Main/Sunset Nbnd","152",37.22094,-80.40477,,,0,,,
02d1b82f-c8b6-48ba-819d-3078ca85ce6b,1602,"Main/Eheart Sbnd","130",37.22565,-80.40997,,,0,,,
452cdb0d-3c2b-43b2-b909-eecc87e04657,1603,"Main/Eakin Sbnd","131",37.22478,-80.40902,,,0,,,
f4013a21-af02-4d4a-9b66-ca2f88f00ff5,1635,"Main/Hemlock Sbnd","166",37.22377,-80.40791,,,0,,,
24eb076b-b555-4967-b70c-cf0bc73f8903,1624,"Main/Hemlock Nbnd","154",37.22392,-80.40808,,,0,,,
0e93920a-50ef-429a-94d2-93b72e35f757,1614,"Marlington/Grissom Wbnd","144",37.21307,-80.39413,,,0,,,
6d682137-5cd2-4795-9f7a-2bc8e6ca67e5,1638,"Professional Park Nbnd","806",37.19713,-80.40028,,,0,,,
ce39f578-53a2-4af7-b712-3530917341b5,1639,"Main/Dowdy Nbnd","808",37.20199,-80.39948,,,0,,,
