stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
8129,8129,Falls of Neuse Rd at Sandy Forks Rd,,35.87137,-78.62167,cat,
8130,8130,Falls of Neuse Rd at Sandy Forks Rd,,35.8732,-78.62227,cat,
8131,8131,Falls of Neuse Rd at Hunting Ridge Rd,,35.87565,-78.62326,cat,
8132,8132,Falls of Neuse Rd at Fox Hunt Ln,,35.87717,-78.62393,cat,
8133,8133,Falls of Neuse Rd at Newton Rd,,35.8792,-78.6248,cat,
8134,8134,Falls of Neuse Rd at Harps Mill Rd,,35.88096,-78.62555,cat,
8135,8135,Falls of Neuse at Ravenscroft Dr,,35.8846,-78.62683,cat,
8136,8136,Falls of Neuse at Weathergreen Dr,,35.88888,-78.62696,cat,
8137,8137,Mutual Ct at Strickland Rd,,35.892714,-78.628551,cat,
8138,8138,Exposition at Falls of Neuse Rd,,35.89053,-78.62801,cat,
8139,8139,Falls of Neuse Rd at Weathergreen Dr,,35.88871,-78.62766,cat,
8140,8140,Falls of Neuse Rd at Ravenscroft Dr,,35.88465,-78.62706,cat,
8141,8141,Falls of Neuse Rd at Harps Mill Rd,,35.88086,-78.6257,cat,
8142,8142,Falls of Neuse Rd at Lake Forest Dr,,35.87688,-78.624032,cat,
8143,8143,Falls of Neuse Rd at Hunting Ridge Rd,,35.87426,-78.62294,cat,
8144,8144,Falls of Neuse Rd at Spring Forest Rd,,35.86914,-78.62124,cat,
8145,8145,Falls of Neuse Rd at Ridgefield Dr,,35.866,-78.62066,cat,
8146,8146,Falls of Neuse Rd at Logger Ct,,35.86354,-78.61998,cat,
8147,8147,Falls of Neuse Rd at Northbend Dr,,35.86104,-78.61926,cat,
8148,8148,Falls of Neuse Rd at Fairfax Dr,,35.85672,-78.6159,cat,
8149,8149,Falls of Neuse Rd at Fireside Dr,,35.85431,-78.61509,cat,
8150,8150,Falls of Neuse Rd at Paddock Dr,,35.851966,-78.614624,cat,
8151,8151,Falls of Neuse Rd at E Millbrook Rd,,35.85103,-78.61453,cat,
8152,8152,Falls of Neuse Rd at Cedarhurst Dr,,35.8491,-78.61484,cat,
8153,8153,Falls of Neuse Rd at Pemberton Dr,,35.84467,-78.61462,cat,
8154,8154,Wake Forest Rd at Old Wake Forest Rd,,35.84112,-78.61183,cat,
8155,8155,Wake Forest Rd at Ollie St,,35.8391,-78.61212,cat,
8156,8156,Wake Forest Rd at Hardimont Rd,,35.83759,-78.61306,cat,
8157,8157,Wake Forest Rd at Colby Dr,,35.83584,-78.61454,cat,
8158,8158,Wake Forest Rd at Dresser Ct,,35.83284,-78.61739,cat,
8159,8159,Wake Forest Rd at St Albans Dr,,35.83003,-78.61921,cat,
8160,8160,Wake Forest Rd at Navaho Dr,,35.82757,-78.62041,cat,
8161,8161,Wake Forest Rd at Wake Towne Dr,,35.82338,-78.62257,cat,
8163,8163,Wake Forest Rd at Six Forks Rd,,35.81861,-78.62474,cat,
8164,8164,Wake Forest Rd at Hodges St,,35.8154,-78.62636,cat,
8165,8165,Wake Forest Rd at McNeil St,,35.81346,-78.62677,cat,
8166,8166,McNeil St at Bernard St,,35.81442,-78.62891,cat,
8167,8167,Noble Rd at McNeil St,,35.81436,-78.63171,cat,
8168,8168,Noble Rd at Wayne Dr,,35.81251,-78.63317,cat,
8169,8169,Noble Rd at North of Pine Dr,,35.81007,-78.63507,cat,
8170,8170,Pine Dr at E Whitaker Mill Rd,,35.80773,-78.63638,cat,
8171,8171,E Whitaker Mill Rd at Reeves Dr,,35.80692,-78.63838,cat,
8172,8172,E Whitaker Mill Rd at McCarthy St,,35.80555,-78.64153,cat,
8173,8173,E Whitaker Mill Rd at Fairview Rd,,35.80437,-78.64513,cat,
8174,8174,Glenwood Ave at Glen Ave,,35.803209,-78.646102,cat,
8175,8175,Glenwood Ave at Harvey St,,35.801172,-78.646223,cat,
8176,8176,Glenwood Ave at Cole St,,35.795981,-78.646453,cat,
8177,8177,Glenwood Ave at Washington St,,35.792773,-78.646917,cat,
8178,8178,Glenwood Ave at Wills Forest St,,35.791204,-78.647027,cat,
8179,8179,Glenwood Ave at W Peace St,,35.788699,-78.647203,cat,
8180,8180,Glenwood Ave at W Johnson St,,35.787013,-78.647258,cat,
8182,8182,Glenwood Ave at W Jones St,,35.78293,-78.64749,cat,
8183,8183,Glenwood Ave at Willard Pl,,35.78175,-78.64755,cat,
8184,8184,Glenwood Ave at W Morgan St,,35.78013,-78.64777,cat,
8185,8185,W Morgan St at S Harrington St,,35.77976,-78.64513,cat,
8186,8186,W Morgan St at S Dawson St,,35.779678,-78.642898,cat,
8187,8187,E Morgan St at S Wilmington St,,35.779508,-78.63729,cat,
8188,8188,E Morgan St at S Person St,,35.77999,-78.63505,cat,
8192,8192,Glascock St at Clifton St,,35.79305,-78.62767,cat,
8193,8193,Glascock St at Brookside Dr,,35.79291,-78.62466,cat,
8194,8194,Glascock St at Raleigh Blvd,,35.79285,-78.61371,cat,
8195,8195,Raleigh Blvd at Cantwell Ct,,35.79402,-78.61251,cat,
8196,8196,Millbank St at Burgandy St,,35.79675,-78.60978,cat,
8197,8197,Millbank St at Euston St,,35.79733,-78.60692,cat,
8198,8198,Raleigh Blvd at Barksdale Dr,,35.80272,-78.60782,cat,
8199,8199,Crabtree Blvd at Raleigh Blvd,,35.80383,-78.6091,cat,
8200,8200,Timber Dr at Crabtree Blvd,,35.805131,-78.612235,cat,
8201,8201,Timber Dr at Barksdale Dr,,35.80286,-78.61202,cat,
8202,8202,Dennis Ave at Watkins St,,35.79846,-78.61666,cat,
8203,8203,Bennett St at Lion's Park,,35.79585,-78.61804,cat,
8204,8204,Bennett St at Lion's Park,,35.79602,-78.61769,cat,
8205,8205,Dennis Ave at Bennett St,,35.79885,-78.61657,cat,
8206,8206,Timber Dr at Barksdale Dr,,35.80315,-78.6125,cat,
8207,8207,Timber Dr at Crabtree Blvd,,35.805158,-78.612313,cat,
8209,8209,Marlborough Rd at Millbank St,,35.79936,-78.60431,cat,
8210,8210,Millbank St at Euston St,,35.79767,-78.60699,cat,
8211,8211,Millbank St at Brighton Rd,,35.79731,-78.60841,cat,
8212,8212,Millbank St at Burgandy St,,35.79698,-78.61003,cat,
8213,8213,Raleigh Blvd at Millbank St,,35.79579,-78.61134,cat,
8214,8214,Raleigh Blvd at Cantwell Ct,,35.79492,-78.61253,cat,
8215,8215,Glascock St at Addison Pl,,35.79309,-78.61406,cat,
8216,8216,Glascock St at Ben Lloyd Dr,,35.79276,-78.61604,cat,
8217,8217,Glascock St at State St,,35.792874,-78.620998,cat,
8218,8218,Glascock St at Brookside Dr,,35.79312,-78.62468,cat,
8219,8219,Glascock St at Clifton St,,35.79326,-78.62777,cat,
8220,8220,Glascock St at Watauga St,,35.7932,-78.62864,cat,
8228,8228,Hillsborough St at Glenwood Ave,,35.78084,-78.64844,cat,
8229,8229,Hillsborough St at Boylan St,,35.780857,-78.649004,cat,
8230,8230,Hillsborough St at St Marys St,,35.780938,-78.65022,cat,
8231,8231,Hillsborough St at St Marys College,,35.781082,-78.651636,cat,
8232,8232,Hillsborough St at Mayo St,,35.781704,-78.653262,cat,
8234,8234,Hillsborough St at Park Ave,,35.783559,-78.656393,cat,
8235,8235,Hillsborough St at Forest Rd,,35.784667,-78.658728,cat,
8236,8236,Hillsborough St at Maiden Ln,,35.786324,-78.662887,cat,
8237,8237,Hillsborough St at Enterprise St,,35.786862,-78.664465,cat,
8238,8238,Hillsborough St at Horne St,,35.787863,-78.668131,cat,
8240,8240,Hillsborough St at Brooks Ave,,35.788798,-78.672421,cat,
8241,8241,Hillsborough St at Dixie Tr,,35.789483,-78.675577,cat,
8242,8242,Dixie Tr at Clark Ave,,35.792745,-78.675679,cat,
8243,8243,Dixie Tr at Fowler Ave,,35.796125,-78.67609,cat,
8244,8244,Dixie Tr at Mayview Rd,,35.797918,-78.676667,cat,
8245,8245,Dixie Tr at O'Berry St,,35.800207,-78.676193,cat,
8246,8246,Wade Ave at Dogwood Ln,,35.801088,-78.680928,cat,
8247,8247,Wade Ave at Faircloth St,,35.801132,-78.683318,cat,
8248,8248,Ridge Rd at Wade Ave (OB),,35.802518,-78.68738,cat,
8249,8249,Ridge Rd at Lewis Farm Rd,,35.809468,-78.684818,cat,
